ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,HIGH_CONCENTRATION,CONCENTRATION_IS_NEGATIVE_ONE
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-04,False,False
2,Food-Spice,Cumin powder,Lead,2.4,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-04,False,False
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-04,False,False
4,Food-Spice,Masala,Lead,12.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-01-04,True,False
5,Food-Candy,Tamarind Candy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-01-06,False,True
6,Food-Candy,Lucas Muecas candy,Lead,-1.0,ppm,Lucas Muecas,MEXICO,2011-01-06,False,True
7,Jewelry,Amulet (Tabeez),Lead,580000.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2011-01-13,True,False
8,Jewelry,String for amulet/tabeez,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2011-01-13,False,True
9,Cosmetics,Surma (Hashmi),Lead,410000.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2011-01-19,True,False
10,Food-Spice,Powdered red pepper,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19,False,True
11,Food-Spice,Turmeric (Haldi),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19,False,True
12,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19,False,False
13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19,False,False
14,Food-Spice,Red pepper spice,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-01-19,False,True
